0.178   83.33   1.67
0.245   92.59   1.85
0.326   109.89  2.20
0.354   136.99  2.74
0.494   126.58  2.53
0.539   125.00  2.50
0.697   128.21  2.56
0.696   126.58  2.53
0.793   133.33  2.67
0.857   129.87  2.60
0.901   136.99  2.74
