0.9928  0.0015  5.03    0.03
1.3982  0.0011  5.90    0.03
1.7423  0.0008  7.04    0.03
2.0492  0.0006  8.96    0.02
2.0959  0.0007  9.19    0.03
2.2960  0.0005  11.55   0.02
2.4679  0.0004  14.89   0.02
2.3146  0.0005  11.78   0.02
2.5435  0.0004  16.74   0.03
2.6851  0.0003  19.48   0.03
2.8040  0.0003  20.07   0.03
3.0179  0.0004  15.30   0.03
3.3790  0.0006  8.77    0.02
3.9188  0.0011  4.92    0.02
4.2798  0.0016  3.70    0.03
4.9745  0.0024  2.39    0.02
5.3178  0.0028  1.95    0.02
5.7983  0.0031  1.57    0.02
